timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
399210051177,0,-1,1,-6,25,5,1,-3
399210060163,0,-2,-16,-2,-1,-3,3,-3
399210060163,-4,-1,-9,-6,-5,-2,-2,-1
399210082637,1,2,33,6,-3,-2,-2,3
399210082637,1,2,-25,-7,-11,-5,-2,-2
399210084184,0,-2,7,-7,6,2,3,3
399210084184,-2,-1,18,9,-1,-1,-3,-2
399210088754,0,2,-15,-11,-4,-3,-2,1
399210088754,-3,1,-3,3,-3,-1,3,-2
399210097614,0,-1,1,-4,8,1,0,-4
399210097614,1,-1,-5,-2,-6,-3,-2,-1
399210111339,-2,2,0,7,-1,-1,-5,-1
399210111339,0,1,3,-4,2,0,0,0
399210120227,-2,-1,0,4,1,-3,0,-2
399210120227,-2,1,-4,-6,-3,0,-1,0
399210134477,-2,1,1,6,-3,-1,-1,0
399210134477,0,0,-1,-1,1,-3,1,-2
399210141168,-2,0,-25,-18,-6,-1,0,-4
399210141168,1,0,16,8,6,3,-2,2
399210157619,1,1,-44,-15,-8,-2,0,2
399210157619,-1,1,17,3,-4,-3,-1,-1
399210159136,0,-1,-6,-9,4,0,0,-1
399210159136,-1,1,-7,5,-6,-4,-3,-1
399210171305,-2,2,28,6,-1,0,1,1
399210171305,1,-1,-3,6,2,-1,3,-1
399210180133,0,0,0,-10,3,-2,0,-1
399210180133,-2,2,-14,1,-3,-4,-3,1
399210195019,-4,1,11,5,-7,-1,-4,2
399210195019,0,0,9,9,6,0,0,-1
399210201197,-1,-1,1,-6,6,2,4,-3
399210201197,-3,2,2,6,-7,-2,-1,-2
399210208695,-4,1,-14,-5,-4,-1,-2,-2
399210208695,0,-1,-6,-3,-2,-1,0,-2
399210217655,1,0,18,6,8,3,2,-1
399210217655,-2,1,-5,-3,-3,-1,-2,-1
399210231168,-2,1,-3,0,-2,-3,-4,3
399210231168,-1,-1,0,-2,0,1,1,-1
399210240129,-1,0,1,9,3,1,0,-2
399210240129,0,2,-17,-15,-4,-4,-2,0
399210254335,-1,0,-7,3,2,3,0,1
399210254335,1,-2,-11,-10,-4,0,-1,-3
399210261308,0,0,6,4,1,1,2,-2
399210261308,0,2,-5,-4,0,-1,0,3
399210268777,0,0,-1,3,2,0,-1,2
399210268777,-1,-2,-4,-16,-6,-2,-4,-4
399210285193,2,0,2,27,17,5,0,-2
399210285193,-3,2,10,0,-10,-6,-4,-3
399210291163,-1,0,17,-1,-2,0,-1,-1
399210291163,1,-2,-9,0,-2,-1,0,-1
399210307648,0,0,-19,-18,-2,1,0,-1
399210307648,-3,3,16,7,2,-1,-1,-1
399210314475,-4,0,-6,-3,-3,-2,-2,1
399210314475,-1,-3,4,-1,1,-3,-1,0
399210321226,-2,5,3,2,-5,-4,0,-4
399210321226,-1,2,-8,-6,2,0,-4,0
399210337668,1,-3,-7,-5,-5,0,1,0
399210337668,-1,-2,-7,14,7,-1,0,-2
399210339159,2,5,4,-3,-5,-2,0,-2
399210339159,-1,3,-16,3,-3,-2,0,0
399210360048,-2,-4,-13,-7,2,1,-2,-1
399210360048,1,-4,2,0,1,-1,1,-1
399210361610,-1,5,10,3,-3,-2,-1,0
399210361610,-1,4,-3,-1,-4,-2,0,-1
399210374386,-2,-7,1,-3,-1,-2,-1,-2
399210374386,-2,-4,-23,0,5,1,0,-2
399210381167,0,6,-3,1,-6,-1,-2,-2
399210381167,0,4,22,-7,-2,2,1,1
399210397423,-2,-8,19,15,3,-3,-1,-2
399210397423,0,-3,-23,-11,0,0,-1,-1
399210403753,0,8,3,-7,-4,-4,-3,-1
399210403753,-2,3,-8,-2,-1,2,-1,2
399210420074,-2,-10,-6,-3,6,1,2,2
399210420074,-1,-3,11,1,-2,-1,0,-1
399210421685,0,10,14,3,-1,-1,-2,-1
399210421685,-2,3,-15,-3,-5,-3,-3,-5
399210435667,-1,-9,3,-6,-1,-3,2,0
399210435667,-3,-4,2,1,-1,-2,0,-2
399210441280,0,12,-3,1,1,-1,-2,-1
399210441280,0,4,6,-4,-1,-3,-2,1
399210457491,-1,-12,-16,-8,0,-1,2,1
399210457491,0,-3,35,11,-6,-1,1,-2
399210459117,1,13,13,17,9,2,-1,0
399210459117,-4,2,-44,-20,-5,-2,-2,-1
399210471252,1,-14,-10,-4,3,0,0,0
399210471252,0,-4,6,-3,-3,-1,1,-3
399210480139,-1,9,0,-3,-6,0,-2,-3
399210480139,2,4,14,8,0,-2,-2,3
399210494600,-1,-9,-18,-8,0,-3,0,3
399210494600,0,-4,8,-11,5,2,1,0
399210501253,-5,11,-7,-6,-8,-2,-2,-4
399210501253,0,4,13,2,1,2,0,0
399210517614,-2,-12,-3,-4,-3,-3,0,-2
399210517614,-1,-3,4,0,2,1,0,-1
399210519036,-1,10,-5,-4,-6,-2,-2,-4
399210519036,1,2,0,-1,-5,2,-2,2
399210531229,0,-8,-3,-3,2,-1,0,-1
399210531229,-1,-2,-2,0,1,1,0,-1
399210540139,-2,5,3,7,-5,-2,-3,-2
399210540139,-1,3,-4,3,0,1,0,0
399210554730,0,-9,-7,-6,6,0,1,-1
399210554730,0,-2,7,6,0,-2,-3,-2
399210563371,-2,9,-2,-4,-3,-1,-3,0
399210563371,-1,2,10,1,-2,0,-4,-4
399210577644,-2,-11,28,4,1,-2,0,1
399210577644,1,-2,-13,-3,-1,-1,0,0
399210579137,1,7,2,-5,-8,1,-3,-2
399210579137,0,1,25,5,2,0,1,0
399210591121,-3,-6,-34,-19,1,-3,1,-2
399210591121,-1,-2,16,18,1,-2,-1,-2
399210607645,0,6,-19,6,-3,-1,-4,0
399210607645,-3,2,4,-9,-4,0,-3,1
399210614366,-1,-6,-9,-5,0,-1,1,-1
399210614366,-2,-2,-13,-12,0,-2,0,-2
399210621202,-1,5,6,10,0,0,-1,-1
399210621202,-1,1,-3,1,-3,-1,1,0
399210637513,-2,-5,-5,0,2,-2,1,-3
399210637513,0,-1,-6,-4,-3,1,-1,-2
399210639118,0,4,9,-6,-5,-3,-4,-3
399210639118,-3,0,-10,4,-1,-1,-3,-2
399210651297,0,-6,-1,-3,5,0,2,1
399210651297,-2,-1,7,5,-1,-2,-3,-1
399210660124,1,3,27,-2,-3,1,-1,1
399210660124,-4,0,-51,-3,-5,-3,0,-1
399210674359,1,-7,0,2,2,-1,0,-1
399210674359,0,-1,0,-3,11,4,1,1
399210681266,-1,11,4,-3,-5,2,-2,1
399210681266,-1,1,19,7,-1,-2,0,-1
399210697625,-4,-16,9,6,3,-1,0,-4
399210697625,-2,-1,-5,-3,-1,-3,-1,0
399210699101,1,18,-18,-1,-7,-2,-5,1
399210699101,0,0,15,-4,-1,0,-1,2
399210711200,-1,-19,-3,-4,5,1,2,-1
399210711200,0,-2,0,-2,-2,-1,-1,-1
399210720139,-1,16,-2,2,-6,-3,-3,-2
399210720139,0,2,-5,-4,-5,-2,-3,0
399210735802,0,-19,-2,2,6,0,4,-1
399210735802,-1,-1,11,0,0,-1,-1,-2
399210741205,0,16,-34,-5,-6,-1,-4,0
399210741205,0,1,-2,1,-2,-1,-1,-2
399210757286,0,-25,-4,-6,5,-1,2,-2
399210757286,-1,-2,2,-2,2,2,5,-1
399210763638,-1,31,1,2,-9,-1,-3,0
399210763638,-3,1,0,3,-3,-1,-3,0
399210771202,-1,-31,-7,-6,7,-2,6,0
399210771202,1,-1,-10,-3,2,-3,0,-1
399210780149,0,25,18,6,-6,-1,-4,-1
399210780149,-2,1,-22,1,-1,0,-1,0
399210794363,-1,-19,-1,-5,3,0,0,-3
399210794363,1,-2,-7,-5,-3,-2,0,-2
399210808685,-3,22,7,4,-3,0,-4,0
399210808685,1,1,7,2,-4,0,-4,-1
399210817457,1,-22,-5,-5,3,-1,3,-2
399210817457,0,-1,-9,-2,0,-2,0,-2
399210819054,-1,25,3,3,-5,-2,-4,1
399210819054,1,0,3,0,-5,-2,0,0
399210831196,2,-20,-3,-1,4,-1,4,-2
399210831196,-2,0,-3,-3,1,-3,-1,1
399210840205,-1,20,8,-2,-4,1,-2,0
399210840205,-1,-1,2,3,-3,1,-3,2
399210853729,-1,-21,-22,-1,7,-1,2,-3
399210853729,-1,0,-24,-4,1,-1,0,-1
399210862641,-1,20,7,6,-5,-1,-2,-1
399210862641,0,0,1,-1,-6,-1,-4,-3
399210877661,-1,-18,1,-2,5,3,2,0
399210877661,0,3,0,-3,1,0,1,-2
399210879229,-1,22,-7,1,-6,-1,-6,-1
399210879229,-1,0,2,3,-1,1,-1,-1
399210891285,-2,-18,-1,-3,5,0,2,-2
399210891285,-1,3,4,-4,-3,-1,2,-1
399210900134,3,11,27,3,2,-1,-1,1
399210900134,-3,-3,-30,-1,4,-1,-4,1
399210913754,-2,-11,2,-1,3,0,1,-3
399210913754,2,5,-5,-1,0,-3,0,-1
399210922720,-2,20,10,0,-13,-4,-4,-2
399210922720,0,0,8,-1,-4,1,-3,1
399210937534,1,-13,10,-1,4,1,1,1
399210937534,0,0,-36,-2,5,-2,0,-3
399210939002,0,10,-3,-4,-8,-2,-4,0
399210939002,0,-3,-2,5,-3,-2,-1,-2
399210951216,0,-11,5,-10,0,0,4,-2
399210951216,-3,0,2,0,1,-1,0,-2
399210960077,-1,6,-2,1,-2,3,0,0
399210960077,-4,-4,1,-3,-6,-7,-6,-4
399210973833,-1,-7,-1,-2,4,-3,2,0
399210973833,-1,0,4,-1,4,0,4,-3
399210982625,0,3,-8,3,-6,-1,-5,0
399210982625,2,-6,16,6,-7,0,-3,1
399210997568,-1,-13,6,-14,-2,-4,-1,-1
399210997568,-3,4,-5,10,23,4,2,-2
399210999190,-2,12,0,4,-8,-2,-3,-1
399210999190,2,-9,-5,1,-7,-2,-2,1
399211011072,0,-15,2,-6,2,-1,1,-1
399211011072,-1,0,19,0,-3,-1,0,0
399211020126,-3,3,-23,-4,-7,-3,-3,0
399211020126,0,-11,11,-1,-7,0,-3,-1
399211033716,-1,-14,-12,-2,7,2,4,-2
399211033716,-1,1,-1,-8,1,-1,1,-1
399211042633,0,4,2,8,-1,1,-4,1
399211042633,-2,-10,3,-4,-7,0,-3,-1
399211056807,-3,-20,-18,-3,4,-4,1,-4
399211056807,-1,4,1,-2,3,0,1,-2
399211063790,0,9,12,-1,-4,1,-2,1
399211063790,-1,-6,5,2,-6,-3,-4,0
399211071250,-1,-25,-10,-4,10,2,4,-2
399211071250,-1,-2,-3,-6,-1,-1,1,-2
399211080167,-2,12,0,-2,-11,-4,-5,0
399211080167,0,-2,-1,5,-9,-1,-2,0
399211094533,0,-20,-8,-12,5,1,3,-2
399211094533,0,2,5,3,3,-3,-1,-2
399211101295,-2,20,3,-2,-6,0,-4,0
399211101295,-3,0,0,7,-1,1,-4,0
399211116928,0,-9,20,2,-3,-2,1,-2
399211116928,-1,-7,-44,-14,1,1,1,-3
399211123824,0,20,13,5,-4,-2,-4,0
